标题,朝代,作者,体裁,内容
﻿梦归,金,元好问,七言律诗,憔悴南冠一楚囚，归心江汉日东流。青山历历乡国梦，黄叶萧萧风雨秋。贫里有诗工作祟，乱来无泪可供愁。残年兄弟相逢在，随分齑盐万事休。
﻿淮右,金,元好问,七言律诗,淮右城池几处存，宋州新事不堪论。辅车谩欲通吴会，突骑谁当捣蓟门。细水浮花归别涧，断云含雨入孤村。空馀韩偓伤时泪，留与累臣一断魂。
﻿秋夜,金,元好问,七言律诗,九死馀生气息存，萧条门巷似荒村。春雷谩说惊坯户，皎日何曾入覆盆。济水有情添别泪，吴云无梦寄归魂。百年世事兼身事，尊酒何人与细论！
﻿乙未正月九日立春,金,元好问,七言律诗,十度新正九处家，今年痴坐转堪嗟。一冬残雪不肯尽，连日苦阴殊未涯。重碧总誇燕市酒，小红谁记上林花？残魂零落今无几，乞与春风恼鬓华。
﻿三仙祠,金,元好问,七言律诗,三仙祠下往来频，憔悴征衫满路尘。箫鼓未休寒食酒，樵苏时见旧都人。吹残芳树红仍在，展放平田绿已匀。西北并州隔千里，几时还我故乡春。
﻿送辅之仲庸还大梁,金,元好问,七言律诗,骅骝争道渺翩翩，谁遗风尘失壮年。四壁旧闻悬磬宅，一囊今有卖书钱。淋浪别酒青灯夜，灭没孤帆落照边。想得还家过春半，故都乔木满苍烟。
﻿眼中,金,元好问,七言律诗,眼中时事益纷然，拥被寒窗夜不眠。骨肉他乡各异县，衣冠今日是何年？枯槐聚蚁无多地，秋水鸣蛙自一天。何处青山隔尘土？一庵吾欲送华颠。
﻿寄钦止李兄,金,元好问,七言律诗,征车南北转秋蓬，关塞相望两秃翁。衮衮便当随世路，悠悠难复倚天公。铜驼荆棘千年后，金马衣冠一梦中。尊酒云州古城下，几时携手哭春风。
﻿镇州与文举百一饮,金,元好问,七言律诗,翁仲遗墟草棘秋，苍龙双阙记神州。只知终老归唐土，忽漫相逢是楚囚。日月尽随天北转，古今谁见海西流？眼中二老风流在，一醉从教万事休。
﻿怀州子城晚望少室,金,元好问,七言律诗,河外青山展卧屏，并州孤客倚高城。十年旧隐抛何处？一片伤心画不成。谷口暮云知郑重，林梢残照故分明。洛阳见说兵犹满，半夜悲歌意未平。
﻿卫州感事二首 其一 ,金,元好问,七言律诗,神龙失水困蜉蝣，一舸仓皇入宋州。紫气已沈牛斗夜，白云空望帝乡秋。劫前宝地三千界，梦里琼枝十二楼。欲就长河问遗事？悠悠东注不还流。
﻿卫州感事二首 其二 ,金,元好问,七言律诗,白塔亭亭古佛祠，往年曾此走京师。不知江令还家日，何似湘累去国时。离合兴亡遽如此，凄迟零落竟安之！太行千里青如染，落日阑干有所思。
﻿羊肠坂,金,元好问,七言律诗,浩荡云山直北看，凌兢羸马不胜鞍。老来行路先愁远，贫里辞家更觉难。衣上风沙叹憔悴，梦中灯火忆团圞。凭谁为报东州信？今在羊肠百八盘。
