标题,朝代,作者,体裁,内容
元会大飨歌十一首 其二 肆夏,隋,牛弘等奉诏作,四言诗,惟熙帝载，式固王猷。体乾建本，是曰孟侯。驰道美汉，寝门称周。德心既广，道业惟优。傅保斯导，贤才与游。瑜玉发响，画轮停辀。皇基方峻，七畅恒休。
宴群臣登歌,隋,牛弘等奉诏作,四言诗,皇明驭历，仁深海县。载择良辰，式陈高宴。颙颙卿士，昂昂侯甸。车旗煜爚，衣缨葱茜。乐正展悬，司宫饰殿。三揖称礼，九宾为传。圆鼎临碑，方壶在面。鹿鸣成曲，嘉鱼入荐。筐篚相辉，献酬交遍。饮和饱德，恩风长扇。
皇后房内歌,隋,牛弘等奉诏作,四言诗,至顺垂典，正内弘风。母仪万国，训范六宫。求贤启化，进善宣功。家邦载序，道业斯融。
凯乐歌辞三首 其一 述帝德,隋,牛弘等奉诏作,四言诗,于穆我后，睿哲钦明。膺天之命，载育群生。开元创历，迈德垂声。朝宗万寓，祗事百灵。焕乎皇道，昭哉帝则。惠政滂流，仁风四塞。淮海未宾，江湖背德。运筹必胜，濯征斯克。八荒雾卷，四表云褰。雄图盛略，迈后光前。寰区已泰，福祚方延。长歌凯乐，天子万年。
凯乐歌辞三首 其二 述诸军用命,隋,牛弘等奉诏作,四言诗,帝德远覃，天维宏布。功高云天，声隆韶濩。惟彼海隅，未从王度。皇赫斯怒，元戎启路。桓桓猛将，赳赳英谟。攻如燎发，战似摧枯。救兹涂炭，克彼妖逋。尘清两越，气静三吴。鲸鲵已夷，封疆载辟。班马萧萧，归旌奕奕。云台表效，司勋纪绩。业并山河，道固金石。
凯乐歌辞三首 其三 述天下太平,隋,牛弘等奉诏作,四言诗,阪泉轩德，丹浦尧勋。始实以武，终乃以文。嘉乐圣主，大哉为君。出师命将，廓定重氛。书轨既并，干戈是戢。弘风设教，政成人立。礼乐聿兴，衣裳载缉。风云自美，嘉祥爰集。皇皇圣政，穆穆神猷。牢笼虞夏，度越姬刘。日月比耀，天地同休。永清四海，长帝九州。
文武舞歌二首 其一 文舞歌,隋,牛弘等奉诏作,四言诗,天眷有属，后德惟明。君临万宇，昭事百灵。濯以江汉，树之风声。罄地毕归，穷天皆至。六戎仰朔，八蛮请吏。烟云献彩，龟龙表异。缉和礼乐，燮理阴阳。功由舞见，德以歌彰。两仪同大，日月齐光。
文武舞歌二首 其二 武舞歌,隋,牛弘等奉诏作,四言诗,惟皇御宇，惟帝乘乾。五材并用，七德兼宣。平暴夷险，拯溺救燔。九域载安，兆庶斯赖。续地之厚，补天之大。声隆有截，化覃无外。鼓钟既奋，干戚攸陈。功高德重，政谧化淳。鸿休永播，久而弥新。
雩祭歌 其一 諴夏二首,隋,牛弘等奉诏作,乐府曲辞,朱明启候。时载阳。肃若旧典。延五方。嘉荐以陈。盛乐奏。气序和平。资灵佑。公田既雨。私亦濡。民殷俗富。政化敷。
元会大飨歌十一首 其三 食举歌,隋,牛弘等奉诏作,乐府曲辞,燔黍设教。礼之始。五味相资。火为纪。平心和德。在甘旨。牢羞既陈。钟石俟。以斯而御。扬盛轨。
元会大飨歌十一首 其四 ,隋,牛弘等奉诏作,乐府曲辞,养身心敬。礼食昭。时和岁阜。庶物饶。盐梅既济。鼎铉调。特以肤腊。加臐膮。威仪济济。懋皇朝。
元会大飨歌十一首 其五 ,隋,牛弘等奉诏作,乐府曲辞,饔人进羞。乐侑作。川潜之脍。云飞臛。甘酸有宜。芬勺药。金敦玉豆。盛交错。御鼓既声。安以乐。
元会大飨歌十一首 其六 ,隋,牛弘等奉诏作,乐府曲辞,玉食惟后。膳必珍。芳菰既絜。重秬新。是能安体。又调神。荆包必至。海贡陈。用之有节。德无垠。
元会大飨歌十一首 其七 ,隋,牛弘等奉诏作,乐府曲辞,嘉羞入馈。犹化谧。沃土名滋。帝台实。阳华之菜。雕陵栗。鼎俎芬芳。豆笾溢。通幽致远。车书一。
元会大飨歌十一首 其八 ,隋,牛弘等奉诏作,乐府曲辞,道高物备。食多方。山肤既善。水豢良。桓蒲在位。簨业张。加笾折俎。烂成行。恩风下济。道化光。
元会大飨歌十一首 其九 ,隋,牛弘等奉诏作,乐府曲辞,礼以安国。仁为政。具物必陈。饔牢盛。罝罘斤斧。顺时令。怀生熙熙。皆得性。于兹宴喜。流嘉庆。
